HEAD,FPGA,TDC_CHANNEL,ORBIT_CNT,BX_COUNTER,TDC_MEAS
1,1,118,47155,2038,13
1,1,118,47156,1536,26
1,1,50,47158,1400,20
1,1,38,47165,3323,8
1,1,118,47166,619,16
1,0,86,47167,1021,28
1,1,118,47168,2508,7
1,0,10,47173,2275,18
1,1,66,47176,1079,19
1,0,61,47180,18,15
1,0,60,47180,20,12
1,0,84,47180,18,5
1,0,59,47180,27,2
1,0,84,47180,26,9
1,0,62,47180,29,3
1,1,30,47185,2983,3
1,1,98,47185,3252,23
1,1,98,47185,3257,20
1,1,10,47190,1933,9
1,0,84,47190,3036,2
1,1,21,47198,3377,14
1,0,84,47200,2866,21
1,1,99,47206,2606,24
1,1,108,47207,1052,28
1,1,79,47210,2562,16
1,0,84,47211,527,15
1,0,20,47211,3493,6
1,0,24,47211,3494,15
1,0,74,47217,177,7
1,0,69,47221,987,29
1,0,84,47221,1608,19
1,1,100,47222,225,24
1,0,84,47222,2154,29
1,0,84,47223,55,16
1,0,84,47223,456,1
1,1,125,47224,2016,6
1,0,84,47231,673,21
1,0,84,47231,1090,7
1,0,84,47231,1562,23
1,0,84,47232,185,18
1,0,84,47232,613,6
1,0,84,47232,770,6
1,0,84,47232,1391,8
1,0,84,47232,1644,19
1,0,84,47232,1750,7
1,0,84,47232,2435,16
1,0,84,47232,3080,3
1,0,84,47233,14,14
1,0,84,47233,573,21
1,0,84,47233,1904,11
1,0,84,47233,2500,6
1,0,41,47236,1194,13
1,1,64,47238,812,17
1,0,84,47238,3524,13
1,0,84,47239,137,22
1,0,84,47239,963,14
1,0,84,47239,1262,6
1,0,84,47239,1268,2
1,0,84,47239,1833,2
1,0,84,47239,2189,23
1,0,84,47239,2243,23
1,0,84,47239,2252,20
1,0,84,47239,2364,25
1,0,84,47239,2434,17
1,0,84,47239,2702,3
1,0,84,47239,2950,6
1,0,84,47239,2958,27
1,0,84,47239,3097,20
1,0,84,47239,3370,4
1,0,84,47239,3379,8
1,0,84,47240,8,22
1,0,84,47240,40,24
1,0,84,47240,195,13
1,0,84,47240,318,22
1,0,84,47240,437,25
1,0,84,47240,476,18
1,0,84,47240,716,26
1,0,84,47240,907,18
1,0,84,47240,1297,12
1,0,84,47240,1865,7
1,0,84,47240,1890,17
1,0,84,47240,2571,3
1,0,84,47240,2694,3
1,0,84,47240,2920,9
1,1,128,47240,3012,5
1,0,84,47240,3277,17
1,1,41,47241,996,21
1,0,84,47241,1178,10
1,1,88,47241,1628,19
1,0,84,47241,2552,25
1,0,84,47241,3306,3
1,0,84,47242,79,0
1,0,84,47242,236,27
1,1,117,47242,253,28
1,0,84,47242,705,5
1,0,84,47242,1307,19
1,0,84,47242,3113,9
1,0,84,47243,209,5
1,0,84,47243,456,19
1,0,84,47243,1132,20
1,0,84,47244,1487,27
1,1,97,47245,2625,19
1,0,89,47246,2446,0
1,0,84,47247,1172,23
1,0,84,47247,1750,6
1,0,84,47247,1914,13
1,0,84,47247,2510,10
1,0,84,47247,3184,4
1,0,84,47248,944,26
1,0,84,47248,1085,22
1,1,24,47248,1419,25
1,0,84,47248,2974,18
1,0,84,47249,388,13
1,1,56,47252,166,20
1,1,24,47253,36,24
1,1,100,47255,2798,25
1,1,91,47258,822,29
1,1,108,47258,910,24
1,1,108,47258,917,11
1,1,95,47262,3309,18
1,1,96,47264,308,29
1,0,93,47264,1753,26
1,1,84,47265,2930,28
1,1,12,47269,1226,4
1,1,3,47274,1300,13
1,1,97,47275,525,23
1,1,50,47278,416,24
1,1,50,47278,427,15
1,0,96,47280,2824,18
1,1,24,47283,3562,28
1,0,118,47284,796,17
1,1,39,47284,984,2
1,1,37,47284,3103,4
1,0,27,47286,249,7
1,0,61,47292,3202,27
1,1,4,47300,1561,17
1,1,81,47312,465,18
1,1,24,47312,1868,25
1,0,105,47313,500,17
1,1,52,47315,2104,23
1,0,8,47319,2101,15
1,1,125,47322,3534,17
1,1,127,47322,3534,21
1,1,128,47322,3540,13
1,0,17,47325,1012,3
1,1,92,47325,1110,28
1,1,92,47325,1114,18
1,0,54,47326,2457,6
1,1,65,47326,3400,19
1,1,96,47337,2617,5
1,1,96,47337,2624,7
1,1,20,47338,2257,15
1,1,44,47338,3374,9
1,0,7,47344,2427,24
1,0,6,47344,2435,22
1,0,77,47344,2430,5
1,0,8,47344,2432,13
1,0,79,47344,2435,14
1,0,5,47344,2440,23
1,0,78,47344,2439,26
1,0,80,47344,2434,12
1,0,82,47344,2441,2
1,1,127,47349,406,27
1,0,76,47351,2007,18
1,1,12,47351,3102,6
1,0,81,47352,1501,5
1,1,44,47360,2750,6
1,1,60,47361,3014,0
1,1,100,47369,3504,19
1,0,48,47377,3196,1
1,1,36,47380,33,2
1,1,8,47381,603,8
1,1,52,47383,3322,29
1,0,86,47399,306,24
1,1,38,47399,2264,7
1,0,103,47400,2405,18
1,1,68,47400,2423,0
1,1,108,47404,94,10
1,0,4,47409,2917,4
1,1,36,47414,482,0
1,1,24,47414,2990,4
1,1,61,47420,2436,3
1,1,126,47420,2435,25
1,1,59,47420,2437,3
1,1,60,47420,2441,29
1,1,58,47420,2444,12
1,1,14,47422,1122,25
1,1,52,47430,865,1
1,1,77,47432,2151,19
1,1,77,47432,2217,12
1,0,86,47433,3073,28
1,0,87,47444,2379,22
1,1,36,47447,3477,10
1,1,12,47448,1721,27
1,0,86,47452,1224,23
1,1,22,47464,2351,7
1,1,22,47464,2358,2
1,0,8,47465,2465,13
1,0,98,47477,3552,12
1,0,98,47477,3557,10
1,1,108,47479,2509,28
1,0,83,47481,1310,28
1,1,29,47485,2991,11
1,0,4,47486,1770,8
1,1,52,47490,76,21
1,1,20,47492,461,0
1,1,118,47498,1225,20
1,1,118,47498,1238,2
1,0,111,47498,1779,21
1,1,30,47498,2520,28
1,0,63,47498,2772,23
1,1,65,47498,3395,22
1,0,108,47499,68,6
1,1,56,47504,591,18
1,1,112,47505,1710,17
1,1,48,47506,355,5
1,1,68,47508,391,24
1,1,64,47514,1590,22
1,1,110,47520,1669,6
1,1,1,47520,1670,12
1,1,110,47520,1820,9
1,1,95,47521,2203,17
1,0,110,47521,2887,25
1,0,119,47525,331,15
1,0,27,47530,1255,21
1,1,35,47536,1097,21
1,0,86,47539,1829,6
1,1,114,47542,168,23
1,1,89,47543,509,6
1,1,13,47543,511,21
1,1,92,47543,508,24
1,0,117,47543,509,24
1,0,3,47543,509,11
1,1,90,47543,515,27
1,0,118,47543,510,0
1,1,14,47543,509,7
1,1,139,47543,522,0
1,1,15,47543,515,25
1,0,4,47543,512,7
1,1,91,47543,518,4
1,0,120,47543,514,8
1,0,2,47543,517,2
1,0,139,47543,523,0
1,1,16,47543,520,3
1,0,119,47543,521,17
1,0,1,47543,519,12
1,0,3,47543,522,9
1,1,38,47543,1166,21
1,1,32,47544,2438,3
1,0,80,47547,2086,20
1,0,84,47561,3200,23
1,1,46,47562,419,26
1,0,111,47566,1155,8
1,0,90,47571,1529,6
1,1,127,47573,2752,16
1,1,41,47577,778,28
1,1,96,47579,2801,20
1,0,29,47588,3360,27
1,0,23,47589,2743,12
1,1,60,47596,1145,14
1,0,6,47597,66,23
1,1,23,47600,2370,5
1,1,38,47600,2868,8
1,1,56,47605,1610,14
1,0,96,47606,1162,9
1,0,98,47606,1245,3
1,1,66,47608,2051,26
1,0,7,47610,832,8
1,1,24,47612,2418,8
1,1,22,47614,1342,22
1,0,15,47617,481,22
1,0,6,47618,1942,26
1,0,94,47619,1505,13
1,1,4,47620,93,18
1,1,44,47624,1844,2
1,0,8,47624,2135,16
1,0,95,47625,2007,19
1,1,91,47627,1412,18
1,0,86,47628,2938,27
