HEAD,FPGA,TDC_CHANNEL,ORBIT_CNT,BX_COUNTER,TDC_MEAS
1,1,28,1289767721,2066,28
1,1,30,1289767721,2073,14
1,1,35,1289767730,2392,13
1,1,36,1289767730,2391,7
1,1,38,1289767730,2406,7
1,1,139,1289767730,2408,0
1,1,33,1289767730,2404,26
1,1,75,1289767755,816,17
1,1,38,1289767763,2314,15
1,1,16,1289767769,606,20
1,1,68,1289767769,1887,1
1,1,66,1289767769,1894,19
1,1,67,1289767769,1891,2
1,1,53,1289767774,2119,17
1,1,69,1289767784,1339,11
1,1,71,1289767784,1340,23
1,1,69,1289767784,1350,24
1,1,23,1289767823,740,21
1,1,26,1289767823,738,24
1,1,61,1289767829,1913,8
1,1,57,1289767829,2155,24
1,1,57,1289767829,2165,17
1,1,28,1289767837,783,19
1,1,27,1289767837,785,22
1,1,29,1289767837,795,19
1,1,30,1289767837,798,6
1,1,139,1289767837,800,0
1,1,45,1289767855,1339,19
1,1,46,1289767855,1337,19
1,1,139,1289767855,1349,0
1,1,42,1289767855,1347,0
1,1,43,1289767855,1341,18
1,1,44,1289767855,1347,5
1,1,52,1289767905,19,19
1,1,50,1289767905,25,6
1,1,49,1289767905,29,24
1,1,139,1289767905,34,0
1,1,47,1289767905,32,13
1,1,51,1289767907,1620,3
1,1,70,1289767937,1660,11
1,1,69,1289767937,1668,4
1,1,71,1289767937,1671,26
1,1,67,1289767937,1670,22
1,1,36,1289767939,2123,17
1,1,35,1289767939,2127,14
1,1,33,1289767939,2131,23
1,1,139,1289767939,2137,0
1,1,34,1289767939,2135,11
1,1,8,1289767953,2394,28
1,1,6,1289767953,2395,18
1,1,10,1289767953,2396,11
1,1,46,1289767955,2547,25
1,1,22,1289767962,128,8
1,1,44,1289767965,1536,29
1,1,11,1289767982,1554,26
1,1,12,1289767982,1559,22
1,1,139,1289767982,1570,0
1,1,14,1289767982,1567,20
1,1,9,1289767982,1568,24
1,1,43,1289767982,2499,7
1,1,4,1289767988,417,14
1,1,3,1289767988,421,2
1,1,139,1289767988,432,0
1,1,5,1289767988,423,3
1,1,6,1289767988,430,2
1,1,15,1289768009,254,26
1,1,16,1289768009,254,23
1,1,17,1289768009,266,9
1,1,47,1289768010,2540,4
1,1,72,1289768015,2907,13
1,1,65,1289768015,2912,13
1,1,68,1289768015,2909,23
1,1,70,1289768015,2908,11
1,1,29,1289768033,201,2
1,1,75,1289768033,1220,1
1,1,9,1289768042,185,10
1,1,15,1289768043,1869,2
1,1,29,1289768068,2413,29
1,1,15,1289768070,852,28
1,1,51,1289768076,3537,5
1,1,33,1289768103,1517,16
1,1,34,1289768103,1522,3
1,1,35,1289768103,1527,8
1,1,58,1289768103,3036,5
1,1,8,1289768105,611,15
1,1,139,1289768105,615,0
1,1,9,1289768105,609,3
1,1,10,1289768105,610,22
1,1,7,1289768105,613,4
1,1,45,1289768119,1495,16
1,1,10,1289768120,54,3
1,1,8,1289768120,60,16
1,1,139,1289768120,66,0
1,1,9,1289768120,60,0
1,1,11,1289768120,64,9
1,1,67,1289768123,2790,6
1,1,72,1289768144,2280,15
1,1,75,1289768144,2285,26
1,1,73,1289768163,1984,23
1,1,25,1289768174,2463,17
1,1,26,1289768174,2465,14
1,1,139,1289768174,2474,0
1,1,27,1289768174,2472,11
1,1,28,1289768174,2471,0
1,1,28,1289768174,2477,1
1,1,11,1289768176,3412,3
1,1,12,1289768176,3414,1
1,1,10,1289768176,3420,25
1,1,65,1289768186,3341,28
1,1,65,1289768186,3349,21
1,1,16,1289768196,1457,9
1,1,14,1289768196,1460,21
1,1,139,1289768196,1470,0
1,1,11,1289768196,1468,29
1,1,13,1289768196,1465,6
1,1,34,1289768247,1680,16
1,1,9,1289768254,467,15
1,1,15,1289768294,1972,6
1,1,16,1289768294,1973,9
1,1,139,1289768294,1984,0
1,1,13,1289768294,1982,29
1,1,14,1289768294,1982,1
1,1,29,1289768294,2920,0
1,1,30,1289768294,2919,3
1,1,31,1289768294,2933,13
1,1,139,1289768294,2936,0
1,1,32,1289768294,2934,3
1,1,48,1289768304,708,29
1,1,49,1289768304,711,15
1,1,47,1289768304,716,14
1,1,139,1289768304,722,0
1,1,50,1289768304,720,7
1,1,25,1289768304,1384,6
1,1,19,1289768311,67,2
1,1,42,1289768324,847,25
1,1,1,1289768350,1395,9
1,1,49,1289768350,2821,23
1,1,10,1289768366,3239,8
1,1,7,1289768366,3246,4
1,1,9,1289768366,3246,19
1,1,139,1289768366,3254,0
1,1,12,1289768366,3252,2
1,1,70,1289768374,3210,22
1,1,19,1289768414,1704,23
1,1,31,1289768418,2900,21
1,1,68,1289768423,1862,19
1,1,1,1289768435,3528,9
1,1,65,1289768445,750,2
1,1,27,1289768448,1051,29
1,1,28,1289768448,1049,27
1,1,25,1289768448,1060,16
1,1,139,1289768448,1066,0
1,1,26,1289768448,1064,1
1,1,49,1289768457,3137,25
1,1,28,1289768475,805,13
1,1,29,1289768475,805,25
1,1,139,1289768475,818,0
1,1,30,1289768475,806,3
1,1,31,1289768475,817,27
1,1,27,1289768475,816,4
1,1,77,1289768481,758,13
1,1,71,1289768481,763,13
1,1,73,1289768481,766,28
1,1,139,1289768481,772,0
1,1,72,1289768481,767,9
1,1,74,1289768481,774,21
1,1,70,1289768481,773,24
1,1,4,1289768481,2223,28
1,1,23,1289768497,2302,17
1,1,24,1289768497,2306,7
1,1,22,1289768497,2313,23
1,1,52,1289768513,2335,18
1,1,52,1289768513,2346,15
1,1,20,1289768566,2161,21
1,1,21,1289768566,2161,15
1,1,139,1289768566,2174,0
1,1,22,1289768566,2169,8
1,1,19,1289768566,2172,13
1,1,32,1289768583,475,3
1,1,80,1289768600,612,4
1,1,33,1289768604,2747,4
1,1,139,1289768604,2756,0
1,1,34,1289768604,2753,24
1,1,35,1289768604,2754,16
1,1,36,1289768604,2754,29
1,1,49,1289768626,2722,26
1,1,49,1289768632,2044,15
1,1,49,1289768632,2056,19
1,1,35,1289768663,1456,15
1,1,32,1289768684,1928,19
1,1,13,1289768685,1274,27
1,1,13,1289768685,1292,6
1,1,44,1289768689,408,21
1,1,10,1289768698,1107,0
1,1,7,1289768698,1110,8
1,1,139,1289768698,1112,0
1,1,8,1289768698,1110,29
1,1,9,1289768698,1107,10
1,1,19,1289768698,1438,10
1,1,18,1289768698,1444,14
1,1,139,1289768698,1452,0
1,1,20,1289768698,1446,24
1,1,21,1289768698,1450,0
1,1,6,1289768705,2260,25
1,1,5,1289768705,2265,19
1,1,5,1289768705,2271,1
1,1,8,1289768705,2272,11
